complaint_type,descriptor,count
Noise - Residential,Loud Music/Party,2186708
HEAT/HOT WATER,ENTIRE BUILDING,1422046
Blocked Driveway,No Access,1148829
Request Large Bulky Item Collection,Request Large Bulky Item Collection,1073753
Noise - Street/Sidewalk,Loud Music/Party,915639
HEATING,HEAT,868960
Noise - Residential,Banging/Pounding,857874
Street Light Condition,Street Light Out,834121
HEAT/HOT WATER,APARTMENT ONLY,756633
Street Condition,Pothole,752024
Illegal Parking,Blocked Hydrant,670586
Illegal Parking,Posted Parking Sign Violation,591538
Noise - Commercial,Loud Music/Party,447316
UNSANITARY CONDITION,PESTS,425797
Blocked Driveway,Partial Access,393895
Derelict Vehicles,Derelict Vehicles,393450
Illegal Parking,Blocked Sidewalk,314085
Traffic Signal Condition,Controller,308649
Noise - Vehicle,Car/Truck Music,304106
Noise,Noise: Construction Before/After Hours (NM1),276841
PAINT/PLASTER,WALL,268538
Illegal Parking,Commercial Overnight Parking,263598
PAINT/PLASTER,CEILING,258800
Noise - Street/Sidewalk,Loud Talking,258483
Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,257587
UNSANITARY CONDITION,MOLD,251448
Abandoned Vehicle,With License Plate,246089
Rodent,Rat Sighting,237679
Building/Use,Illegal Conversion Of Residential Building/Space,230357
New Tree Request,For One Address,227173
General Construction/Plumbing,Building Permit - None,220371
FLOORING/STAIRS,FLOOR,216736
PLUMBING,BASIN/SINK,212578
Graffiti,Graffiti,208163
Derelict Vehicle,With License Plate,207814
Noise - Residential,Loud Talking,201777
Sewer,Sewer Backup (Use Comments) (SA),193346
NONCONST,VERMIN,187360
PAINT - PLASTER,CEILING,179995
Damaged Tree,Branch or Limb Has Fallen Down,178576
DOOR/WINDOW,DOOR,176152
PLUMBING,WATER-LEAKS,169555
PAINT - PLASTER,WALLS,168456
Water System,Leak (Use Comments) (WA2),164809
WATER LEAK,HEAVY FLOW,164120
Illegal Parking,Double Parked Blocking Traffic,154868
Taxi Complaint,Driver Complaint,149397
Missed Collection (All Materials),1 Missed Collection,146170
Sidewalk Condition,Broken Sidewalk,144019
Homeless Person Assistance,,139700
UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,135554
Noise - Helicopter,Other,132270
Street Condition,Cave-in,131661
Water System,Hydrant Running Full (WA4),130895
WATER LEAK,SLOW LEAK,130770
PLUMBING,WATER SUPPLY,129502
Dirty Conditions,E3 Dirty Sidewalk,127967
DOOR/WINDOW,WINDOW FRAME,127693
Sidewalk Condition,Sidewalk Violation,126467
Water System,Hydrant Running (WC3),116955
Water System,Dirty Water (WE),114728
Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),113387
Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,112029
Non-Emergency Police Matter,Other (complaint details),109892
